type,target,original_name,english_name,source_file,output_file,status
costume,stage,Sky,sky,5e8c1118bf1fa0a3ebec3319dc5e65ba.png,images\stage\sky_2.png,copied
costume,stage,sculk,sculk,941eb6dfc57675a89d85ace88bf03a7c.svg,images\stage\sculk_2.png,converted
costume,stage,Warped Forest,warped_forest,95cb96f5c1d3ba6fd50cd480263e30ad.svg,images\stage\warped_forest_2.png,converted
costume,stage,Cherry Blossom,cherry_blossom,efce0dd69652ca1ed1ab4ad288a8b228.svg,images\stage\cherry_blossom_2.png,converted
costume,stage,Lush Caves,lush_caves,ed3e197cc26c0af91f652908d65fa15b.svg,images\stage\lush_caves_2.png,converted
costume,stage,Stronghold,stronghold,39a724267548635da3e3c5d833534ba5.svg,images\stage\stronghold_2.png,converted
costume,stage,Trial Chamber,trial_chamber,70a8ab41d8dd58e5943802dece31be28.svg,images\stage\trial_chamber_2.png,converted
costume,stage,Corals,corals,2ec766c9f35de41a293a0911482c2d62.svg,images\stage\corals_2.png,converted
sound,stage,music,music,7592e0d4496594922a1ac2f4292f95a0.mp3,audio\stage\music_2.mp3,copied
costume,blank, ,unnamed,14e46ec3e2ba471c2adfe8f119052307.svg,images\blank\unnamed.png,converted_svg_fallback
costume,generator,generate,generate,d36f6603ec293d2c2198d3ea05109fe0.png,images\generator\generate_1.png,copied
costume,processor,Processor,processor,d36f6603ec293d2c2198d3ea05109fe0.png,images\processor\processor_1.png,copied
sound,processor,explode,explode,9a888cd65ee0de136bb8c9d11075fdb9.mp3,audio\processor\explode_1.mp3,copied
sound,processor,bonemeal,bonemeal,e327f9373f0e9f97ce5efb2d0aa321a8.mp3,audio\processor\bonemeal_1.mp3,copied
sound,processor,pistonin,pistonin,f8ee8b9adde79338cc56491e743514f0.mp3,audio\processor\pistonin_1.mp3,copied
sound,processor,pistonout,pistonout,9dc3d70aa6e1495e89f5cdba98878911.mp3,audio\processor\pistonout_1.mp3,copied
costume,steves_head,Right,right,316947d98eb87e876b9918d8297c81a3.png,images\steves_head\right_1.png,copied
costume,steves_head,Left,left,b200ac56e4836bd726ca1f9cd069cc35.png,images\steves_head\left_1.png,copied
costume,steves_head,Head2r,head2r,e0eaa4932bfc12acfa8ae413f2610631.png,images\steves_head\head2r_1.png,copied
costume,steves_head,Head2l,head2l,6875742fb8917d2fea19a6dd3a0243aa.png,images\steves_head\head2l_1.png,copied
costume,steves_head,Head3r,head3r,d53f31db5ddf1b1e0ba73ec455512f08.png,images\steves_head\head3r_1.png,copied
costume,steves_head,Head3l,head3l,0c8945ac1e068c034a1906a3ee21840c.png,images\steves_head\head3l_1.png,copied
costume,steves_head,Head4r,head4r,e875ca641546f389677368e1d4c95ced.png,images\steves_head\head4r_1.png,copied
costume,steves_head,Head4l,head4l,9703cedd0d2854be01d9e3625856a2c1.png,images\steves_head\head4l_1.png,copied
costume,steves_head,HeadPl,headpl,34a1fc566bb6743e358408bad3c9e69a.png,images\steves_head\headpl_1.png,copied
costume,steves_head,HeadPr,headpr,548ab033de3c2373ce2fd5ffaae673d9.png,images\steves_head\headpr_1.png,copied
costume,steves_head,Crown_r,crown_r,d78f58bd9977ff292df22c440cd31e02.png,images\steves_head\crown_r_1.png,copied
costume,steves_head,Crown_l,crown_l,fea42f559afb1666b3c94f40c3ff2cfd.png,images\steves_head\crown_l_1.png,copied
costume,steves_head,Head4r4,head4r4,705c74dd0d8c6b9cd4934627648c8df1.png,images\steves_head\head4r4_1.png,copied
costume,steves_head,Head4r5,head4r5,e0f1ee78c99f7b179b7a8f5cc34b02c6.png,images\steves_head\head4r5_1.png,copied
costume,steves_head,Head4r10,head4r10,e5ea87b91a22dac9e0e01bc381b5b1f6.svg,images\steves_head\head4r10_1.png,converted
costume,steves_head,Head4l2,head4l2,179d225c64cae678f987776ee2ef6fb8.png,images\steves_head\head4l2_1.png,copied
costume,steves_head,Head4r11,head4r11,1e6861d33efc6f58315811f05b0ce588.png,images\steves_head\head4r11_1.png,copied
costume,steves_head,Head4l3,head4l3,b455d0e5ad7370fd8a9e7d1a191402b6.png,images\steves_head\head4l3_1.png,copied
costume,steves_head,Head4r13,head4r13,d3dad879fbc15283887e92646b255c2c.png,images\steves_head\head4r13_1.png,copied
costume,steves_head,Head4l4,head4l4,97c63841b218ab02a693f4cea0a124fd.png,images\steves_head\head4l4_1.png,copied
costume,steves_head,costume3,costume3,34e7ec813466039b09b7d925ac6e8c94.svg,images\steves_head\costume3_1.png,converted
costume,steves_head,costume4,costume4,facad61d11fcb66f152211666f91dd1d.svg,images\steves_head\costume4_1.png,converted
costume,steves_head,costume5,costume5,4bfed1117d41ab020c1cb38bd8d815e4.png,images\steves_head\costume5_1.png,copied
costume,steves_head,costume6,costume6,774d7748056c558f8cd612b514dc8747.png,images\steves_head\costume6_1.png,copied
costume,steves_head,Left2,left2,5d9db3af21c203982f294083765fbc05.png,images\steves_head\left2_1.png,copied
costume,steves_head,Left3,left3,61c6068d72e8f301a73967046cef76bb.png,images\steves_head\left3_1.png,copied
costume,steves_head,Head1r2,head1r2,ef4811bb5daa0948ec5ca75aa5991eb5.png,images\steves_head\head1r2_1.png,copied
costume,steves_head,Head1r3,head1r3,ae30efa6eaa893ebc8e19ff3a94617e8.png,images\steves_head\head1r3_1.png,copied
costume,steves_head,Head1r4,head1r4,09247ff03a6f6ae468f712d66eb6d782.png,images\steves_head\head1r4_1.png,copied
costume,steves_head,Head1r5,head1r5,144f92e84a61416245f1e7c72b38d2ce.png,images\steves_head\head1r5_1.png,copied
costume,steves_head,Head1r6,head1r6,b5f1b8f34f453d98cbcb267ad4932407.png,images\steves_head\head1r6_1.png,copied
